project,network,url
3xcalibur,arbitrum,https://api.thegraph.com/subgraphs/name/0xleez/xcali-arbitrum
aave,ethereum,https://api.thegraph.com/subgraphs/name/messari/aave-arc-ethereum
aave,ethereum,https://api.thegraph.com/subgraphs/name/messari/aave-amm-ethereum
aave,ethereum,https://api.thegraph.com/subgraphs/name/messari/aave-rwa-ethereum
aave,avalanche,https://api.thegraph.com/subgraphs/name/messari/aave-v2-avalanche
aave,ethereum,https://api.thegraph.com/subgraphs/name/messari/aave-v2-ethereum
aave,polygon,https://api.thegraph.com/subgraphs/name/messari/aave-v2-polygon
aave,arbitrum,https://api.thegraph.com/subgraphs/name/messari/aave-v3-arbitrum
aave,avalanche,https://api.thegraph.com/subgraphs/name/messari/aave-v3-avalanche
aave,fantom,https://api.thegraph.com/subgraphs/name/messari/aave-v3-fantom
aave,harmony,https://api.thegraph.com/subgraphs/name/messari/aave-v3-harmony
aave,polygon,https://api.thegraph.com/subgraphs/name/messari/aave-v3-polygon
aave,optimism,https://api.thegraph.com/subgraphs/name/messari/aave-v3-optimism
aave,ethereum,https://api.thegraph.com/subgraphs/name/messari/aave-v3-ethereum
aave,ethereum,https://api.thegraph.com/subgraphs/name/messari/aave-governance
aave,arbitrum,https://api.thegraph.com/subgraphs/name/aave/protocol-v3-arbitrum
aave,avalanche,https://api.thegraph.com/subgraphs/name/aave/protocol-v3-avalanche
aave,fantom,https://api.thegraph.com/subgraphs/name/aave/protocol-v3-fantom
aave,optimism,https://api.thegraph.com/subgraphs/name/aave/protocol-v3-optimism
aave,polygon,https://api.thegraph.com/subgraphs/name/aave/protocol-v3-polygon
abracadabra,arbitrum,https://api.thegraph.com/subgraphs/name/messari/abracadabra-money-arbitrum
abracadabra,avalanche,https://api.thegraph.com/subgraphs/name/messari/abracadabra-money-avalanche
abracadabra,bsc,https://api.thegraph.com/subgraphs/name/messari/abracadabra-money-bsc
abracadabra,fantom,https://api.thegraph.com/subgraphs/name/messari/abracadabra-money-fantom
abracadabra,ethereum,https://api.thegraph.com/subgraphs/name/messari/abracadabra-money-ethereum
across,ethereum,https://api.thegraph.com/subgraphs/name/messari/across-v2-ethereum
across,optimism,https://api.thegraph.com/subgraphs/name/messari/across-v2-optimism
across,boba,https://api.thegraph.com/subgraphs/name/messari/across-v2-boba
across,arbitrum,https://api.thegraph.com/subgraphs/name/messari/across-v2-arbitrum
across,polygon,https://api.thegraph.com/subgraphs/name/messari/across-v2-polygon
alpaca,bsc,https://api.thegraph.com/subgraphs/name/messari/alpaca-finance-lending-bsc
alpaca,fantom,https://api.thegraph.com/subgraphs/name/messari/alpaca-finance-lending-fantom
ampleforth,ethereum,https://api.thegraph.com/subgraphs/name/messari/ampleforth-governance
angle,ethereum,https://api.thegraph.com/subgraphs/name/messari/angle-governance
apeswap,bsc,https://api.thegraph.com/subgraphs/name/messari/apeswap-bsc
apeswap,polygon,https://api.thegraph.com/subgraphs/name/messari/apeswap-polygon
arbitrum-one-bridge,ethereum,https://api.thegraph.com/subgraphs/name/messari/arbitrum-one-bridge-ethereum
arbitrum-one-bridge,arbitrum,https://api.thegraph.com/subgraphs/name/messari/arbitrum-one-bridge-arbitrum
arbor finance,ethereum,https://api.thegraph.com/subgraphs/name/alwaysbegrowing/arbor-v1
arrakis,ethereum,https://api.thegraph.com/subgraphs/name/messari/arrakis-finance-ethereum
arrakis,optimism,https://api.thegraph.com/subgraphs/name/messari/arrakis-finance-optimism
arrakis,polygon,https://api.thegraph.com/subgraphs/name/messari/arrakis-finance-polygon
arrakis,ethereum,https://api.thegraph.com/subgraphs/name/arrakisfinance/vault-v1-mainnet
arrakis,optimism,https://api.thegraph.com/subgraphs/name/arrakisfinance/vault-v1-optimism
arrakis,polygon,https://api.thegraph.com/subgraphs/name/arrakisfinance/vault-v1-polygon
aura,ethereum,https://api.thegraph.com/subgraphs/name/messari/aura-finance-ethereum
auragi finance,arbitrum,https://api.thegraph.com/subgraphs/name/oxbill/auragi
aurigami,aurora,https://api.thegraph.com/subgraphs/name/messari/aurigami-aurora
axelar,ethereum,https://api.thegraph.com/subgraphs/name/messari/axelar-ethereum
axelar,arbitrum,https://api.thegraph.com/subgraphs/name/messari/axelar-arbitrum
axelar,avalanche,https://api.thegraph.com/subgraphs/name/messari/axelar-avalanche
axelar,bsc,https://api.thegraph.com/subgraphs/name/messari/axelar-bsc
axelar,celo,https://api.thegraph.com/subgraphs/name/messari/axelar-celo
axelar,fantom,https://api.thegraph.com/subgraphs/name/messari/axelar-fantom
axelar,moonbeam,https://api.thegraph.com/subgraphs/name/messari/axelar-moonbeam
axelar,polygon,https://api.thegraph.com/subgraphs/name/messari/axelar-polygon
badger,ethereum,https://api.thegraph.com/subgraphs/name/messari/badgerdao-ethereum
balancer,arbitrum,https://api.thegraph.com/subgraphs/name/messari/balancer-v2-arbitrum
balancer,polygon,https://api.thegraph.com/subgraphs/name/messari/balancer-v2-polygon
balancer,ethereum,https://api.thegraph.com/subgraphs/name/messari/balancer-v2-ethereum
balancer,fantom,https://api.thegraph.com/subgraphs/name/messari/beethoven-x-fantom
balancer,optimism,https://api.thegraph.com/subgraphs/name/messari/beethoven-x-optimism
balancer,arbitrum,https://api.thegraph.com/subgraphs/name/balancer-labs/balancer-arbitrum-v2
balancer,polygon,https://api.thegraph.com/subgraphs/name/balancer-labs/balancer-polygon-v2
balancer,ethereum,https://api.thegraph.com/subgraphs/name/balancer-labs/balancer-v2
bancor,ethereum,https://api.thegraph.com/subgraphs/name/messari/bancor-v3-ethereum
barnbridge,arbitrum,https://api.thegraph.com/subgraphs/name/barnbridge/sy-arbitrum
barnbridge,ethereum,https://api.thegraph.com/subgraphs/name/barnbridge/sy-mainnet
barnbridge,optimism,https://api.thegraph.com/subgraphs/name/barnbridge/sy-optimism
bastion-protocol,aurora,https://api.thegraph.com/subgraphs/name/messari/bastion-protocol-aurora
beefy,arbitrum,https://api.thegraph.com/subgraphs/name/messari/beefy-finance-arbitrum
beefy,avalanche,https://api.thegraph.com/subgraphs/name/messari/beefy-finance-avalanche
beefy,aurora,https://api.thegraph.com/subgraphs/name/messari/beefy-finance-aurora
beefy,celo,https://api.thegraph.com/subgraphs/name/messari/beefy-finance-celo
beefy,fantom,https://api.thegraph.com/subgraphs/name/messari/beefy-finance-fantom
beefy,fuse,https://api.thegraph.com/subgraphs/name/messari/beefy-finance-fuse
beefy,harmony,https://api.thegraph.com/subgraphs/name/messari/beefy-finance-harmony
beefy,moonbeam,https://api.thegraph.com/subgraphs/name/messari/beefy-finance-moonbeam
beefy,moonriver,https://api.thegraph.com/subgraphs/name/messari/beefy-finance-moonriver
beefy,polygon,https://api.thegraph.com/subgraphs/name/messari/beefy-finance-polygon
beefy,bsc,https://api.thegraph.com/subgraphs/name/messari/beefy-finance-bsc
beefy,optimism,https://api.thegraph.com/subgraphs/name/messari/beefy-finance-optimism
beefy,cronos,https://api.thegraph.com/subgraphs/name/messari/NA
belt,bsc,https://api.thegraph.com/subgraphs/name/messari/belt-finance-bsc
benqi,avalanche,https://api.thegraph.com/subgraphs/name/messari/benqi-avalanche
biswap,bsc,https://api.thegraph.com/subgraphs/name/messari/biswap-bsc
biswap,bsc,https://api.thegraph.com/subgraphs/name/biswapcom/exchange5
blue planet,bsc,https://api.thegraph.com/subgraphs/name/makemyideatech/planet-finance-v3
bunni,arbitrum,https://api.thegraph.com/subgraphs/name/bunniapp/bunni-arbitrum
bunni,ethereum,https://api.thegraph.com/subgraphs/name/bunniapp/bunni-mainnet
bunni,optimism,https://api.thegraph.com/subgraphs/name/bunniapp/bunni-optimism
bunni,polygon,https://api.thegraph.com/subgraphs/name/bunniapp/bunni-polygon
burrow,near-mainnet,https://api.thegraph.com/subgraphs/name/messari/burrow-near
camelot,arbitrum,https://api.thegraph.com/subgraphs/name/messari/camelot-v2-arbitrum
camelot,arbitrum,https://api.thegraph.com/subgraphs/name/camelotlabs/camelot-amm
celer-network,ethereum,https://api.thegraph.com/subgraphs/name/messari/cbridge-ethereum
celer-network,arbitrum,https://api.thegraph.com/subgraphs/name/messari/cbridge-arbitrum
celer-network,aurora,https://api.thegraph.com/subgraphs/name/messari/cbridge-aurora
celer-network,avalanche,https://api.thegraph.com/subgraphs/name/messari/cbridge-avalanche
